step,train_acc
0,0.0625
100,0.921875
200,1.0
300,0.9921875
400,0.9921875
500,0.984375
600,0.9921875
700,0.984375
800,0.984375
900,1.0
1000,0.984375
1100,1.0
1200,0.9921875
1300,0.984375
1400,1.0
1500,1.0
1600,1.0
1700,1.0
1800,0.9921875
1900,1.0
2000,1.0
2100,1.0
2200,1.0
2300,1.0
2400,1.0
2500,0.9921875
2600,1.0
2700,0.9921875
2800,1.0
2900,1.0
3000,1.0
3100,1.0
3200,1.0
3300,1.0
3400,1.0
3500,1.0
3600,0.9921875
3700,1.0
3800,1.0
3900,1.0
4000,1.0
4100,1.0
4200,1.0
4300,1.0
4400,1.0
4500,1.0
4600,1.0
4700,1.0
4800,1.0
4900,1.0
5000,1.0
5100,1.0
5200,1.0
5300,1.0
5400,1.0
